start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,consent,student,college_year,college_type,residence_current,resdence_other,reside_famliy,reside_friends,reside_so,reside_alone,reside_other,reside_text,relocate_covid,days_disrupt,relocate_problem,reloacte_help,sleep_covid,sleep_fall,sleep_stay,sleep_fatigued,sleep_nightmares,fatigue_decide,concentrate,optimistic,resilient,resilient_covid,relationships,humor,humor_help,friends,friends_help,faith,faith_help,self_care,motivation,self_esteem,energy,happiness,hopeful,life_sat,homework,forgetting,talk_covid,avoid_covid,spaced,sadness,lashed_out,people_talk,talk_helps,talk_dont,accept_changes,worried,support_peers,support_family,support_extend,support_staff,support_faculty,support_admin,reduced_contact,family_isolate,financial_trouble,family_essential,school_safe,negative_home,positive_home,negative_campus,positive_campus,coerce,threaten,safe_place,family_track,alcohol,marijuana,tobacco,drugs,other,other_text,pre_unsafe_home,pre_unsafe_community,pre_community_violence,pre_discrimination,break_in,post_unsafe_home,post_unsafe_community,post_community_violence,post_discrimination,post_none,post_increase,post_fear,cv_decision,ace_swear,swear_cope,ace_fear,fear_cope,ace_special,special_cope,ace_food,food_cope,ace_divorce,divorce_cope,ace_alcohol,alcohol_cope,ace_depressed,depressed_cope,ptsd,ptsd_time,ptsd_symptoms,ptsd_illness,ptsd_increase,post_intrusive,post_dreams,post_recurring,post_exposure,post_reactivity,post_thoughts,post_places,post_recall,post_interest,post_detach,post_affect,post_future,post_sleep,post_anger,post_concentrate,post_vigilance,post_startle,post_impair,ptsd_decrease,post_intrusive_d,post_dreams_d,post_recurring_d,post_exposure_d,post_reactivity_d,post_thoughts_d,post_places_d,post_recall_d,post_interest_d,post_detach_d,post_affect_d,post_future_d,post_sleep_d,post_anger_d,post_concentrate_d,post_vigilance_d,post_startle_d,post_impair_d,mental_illness,treatment,dependent,work,income_housing,unemployed,care_others,vulnerable,dependent_food,parent_unemployed,financial_worry,job_loss,rent,apply_unemployment,worry_school,no_worry,indepedent,personal_income,family_income,fin_aid,amount,age,gender,gender_other,ethnicity_white,ethnicity_black,ethnicity_native,ethnicity_asian,ethnicity_latinx,ethnicity_middle_east,ethnicity_hawaiian,ethnicity_other,ethnicity_text,parent_school,parent_job
2020-04-14T10:21:19Z,2020-04-14T10:34:42Z,0,100,802,1,2020-04-14T10:34:42Z,R_7VDfYobxDBrNC0h,social,EN,1,1,2,4,6,,NA,1,NA,NA,NA,,1,NA,NA,NA,5,3,2,7,1,3,17,3,5,4,2,1,5,4,5,2,NA,2,1,2,2,2,2,1,2,2,3,4,2,2,4,2,2,5,4,2,4,3,3,1,2,1,4,28,6,21,4,3,3,4,2,2,4,1,2,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,2,NA,2,NA,NA,NA,2,NA,1,3,2,NA,1,3,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,1,2,NA,NA,3,2,1,NA,1,NA,NA,1,1,NA,2,NA,43,2,,1,NA,NA,NA,NA,NA,NA,NA,,8,1
2020-04-14T10:52:57Z,2020-04-14T11:08:12Z,0,100,915,1,2020-04-14T11:08:13Z,R_UQuc5dhg7pDLmLv,anonymous,EN,1,1,3,4,1,,1,NA,NA,NA,NA,,3,5,1,3,3,2,4,7,1,3,17,5,5,3,2,1,4,4,5,2,NA,5,1,2,2,2,2,2,1,3,3,3,2,2,2,2,2,4,2,2,2,4,1,3,2,2,3,28,6,22,2,1,1,1,1,1,6,3,2,NA,1,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,1,5,2,2,1,5,1,5,1,1,2,NA,1,3,1,3,1,4,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,1,1,2,2,1,5,NA,NA,NA,1,NA,2,NA,4,1,1,44,2,,1,NA,1,NA,NA,NA,NA,NA,,6,1
2020-04-14T10:57:10Z,2020-04-14T11:08:30Z,0,100,680,1,2020-04-14T11:08:31Z,R_1FQdJqPWJ0hEqqN,anonymous,EN,1,1,2,4,3,,1,NA,NA,NA,NA,,2,3,NA,NA,2,3,3,9,2,3,15,5,5,5,2,1,5,4,5,2,NA,1,2,1,2,2,4,2,2,4,2,5,2,1,2,1,1,5,4,2,5,3,2,4,3,5,2,28,6,22,2,4,2,1,4,1,2,4,2,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,1,3,2,NA,2,NA,2,NA,2,NA,2,NA,1,4,1,4 years,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,2,NA,NA,3,5,NA,NA,NA,NA,1,2,NA,5,2,NA,42,7,,1,NA,NA,NA,NA,NA,NA,NA,,6,1
2020-04-14T10:57:18Z,2020-04-14T11:10:02Z,0,100,764,1,2020-04-14T11:10:03Z,R_577vrTTv3bbeufT,social,EN,1,1,1,4,1,,1,NA,NA,NA,NA,,2,1,2,1,4,2,1,9,1,2,16,4,4,5,3,1,5,4,4,2,NA,4,2,3,3,2,3,3,4,4,5,5,1,2,2,1,3,4,2,1,2,4,1,3,3,3,2,27,1,21,5,1,5,2,3,2,4,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,3,2,NA,NA,3,5,NA,NA,NA,NA,1,2,NA,5,1,1,8,7,,1,NA,NA,NA,NA,NA,NA,NA,,6,1
2020-04-14T11:06:09Z,2020-04-14T11:13:06Z,0,100,416,1,2020-04-14T11:13:06Z,R_2ype2rx7cEz7dLg,anonymous,EN,1,1,3,4,3,,NA,1,1,NA,NA,,1,NA,NA,NA,2,4,4,10,1,4,17,4,5,4,2,1,4,4,4,2,NA,2,1,1,1,1,1,1,1,1,4,2,2,1,1,2,3,4,2,2,3,2,5,4,4,3,4,28,1,22,3,4,2,1,5,1,4,2,1,NA,1,1,NA,NA,,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,4,5,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,2,NA,NA,1,5,1,NA,NA,NA,NA,2,NA,5,2,NA,43,2,,1,NA,NA,NA,NA,NA,NA,NA,,8,1
2020-04-14T11:01:19Z,2020-04-14T11:16:48Z,0,100,928,1,2020-04-14T11:16:48Z,R_3jdFl4F6sXztep9,anonymous,EN,1,1,6,4,1,,1,NA,NA,NA,NA,,2,4,2,1,4,3,2,7,1,2,16,5,5,4,4,1,4,4,3,2,NA,4,2,4,3,4,4,4,2,3,4,4,2,2,4,2,2,4,2,1,4,5,2,2,3,3,2,27,1,21,3,2,2,1,2,1,3,2,2,NA,NA,NA,NA,NA,,NA,1,NA,NA,1,NA,NA,NA,NA,1,4,3,4,1,1,2,NA,1,1,2,NA,1,2,1,1,2,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,NA,2,2,NA,NA,3,4,1,NA,NA,NA,NA,2,NA,5,1,1,42,2,,1,NA,NA,NA,NA,NA,NA,NA,,5,8
2020-04-14T11:07:02Z,2020-04-14T11:21:27Z,0,100,864,1,2020-04-14T11:21:28Z,R_cNlcRyquf8TTd7j,anonymous,EN,1,1,4,4,6,,NA,NA,1,NA,NA,,2,3,NA,NA,3,2,2,8,2,2,15,4,4,4,2,1,3,4,4,2,NA,3,3,3,2,4,4,3,3,3,4,3,4,2,2,2,3,4,2,3,4,1,4,4,5,3,4,27,6,21,4,5,1,1,1,2,4,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,1,3,1,3,1,3,2,NA,2,NA,2,NA,1,1,1,1.5 years,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,4,2,NA,2,2,NA,NA,4,1,NA,1,NA,1,NA,1,1,NA,1,1,NA,2,,1,NA,NA,NA,NA,NA,NA,NA,,4,2
2020-04-14T11:12:09Z,2020-04-14T11:24:07Z,0,100,718,1,2020-04-14T11:24:08Z,R_6A7UpMbVp4lpFVT,social,EN,1,1,6,4,3,,NA,1,NA,NA,NA,,1,NA,NA,NA,4,1,1,8,2,2,14,2,2,4,2,1,2,4,3,2,NA,4,1,2,2,2,2,2,NA,4,2,5,3,1,1,1,3,5,4,1,1,2,1,1,1,1,5,28,6,21,4,4,1,2,5,2,4,1,2,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,2,NA,1,2,1,NA,1,NA,1,NA,2,NA,1,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,3,2,NA,NA,4,3,NA,NA,NA,NA,1,2,NA,6,2,NA,47,7,,1,NA,NA,NA,NA,NA,NA,NA,,6,1
2020-04-14T10:32:12Z,2020-04-14T11:25:01Z,0,100,3168,1,2020-04-14T11:25:01Z,R_2fppD4Kdm8BDW0L,anonymous,EN,1,1,3,4,1,,1,NA,NA,NA,NA,,3,6,2,3,3,2,2,8,1,2,16,2,4,4,2,1,3,4,5,1,4,3,2,2,2,2,2,2,2,3,2,2,3,2,1,2,2,NA,2,5,NA,2,1,4,4,3,2,27,1,21,4,2,2,2,2,2,6,3,2,NA,NA,NA,NA,NA,,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,4,1,4,1,3,1,1,2,NA,2,NA,2,NA,1,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,2,NA,NA,1,4,NA,NA,NA,NA,1,2,NA,5,1,1,44,2,,NA,NA,NA,1,NA,NA,NA,NA,,6,1
2020-04-14T11:29:05Z,2020-04-14T11:36:51Z,0,100,465,1,2020-04-14T11:36:51Z,R_2xL9ZsjqwpdcqdM,anonymous,EN,1,1,6,4,1,,1,NA,NA,NA,NA,,3,3,2,2,2,4,1,10,2,5,17,4,5,4,3,1,4,4,5,2,NA,3,1,4,2,3,3,3,1,4,2,5,1,1,2,1,1,5,3,1,5,5,4,4,3,1,1,27,1,22,3,2,5,1,5,2,4,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,NA,3,2,NA,NA,3,4,NA,NA,NA,NA,1,2,NA,5,2,NA,42,2,,1,NA,NA,NA,NA,NA,NA,NA,,8,1
